지점,지점명,일시,평균기온(°C),최대 풍속(m/s),최대 풍속 풍향(16방위),평균 상대습도(%)
133,대전,2019-01-01,-2.7,3.4,320,69.8
133,대전,2019-01-02,-3.3,3.8,320,64.1
133,대전,2019-01-03,-2.7,2.4,110,55.8
133,대전,2019-01-04,-1.6,1.8,320,61.8
133,대전,2019-01-05,-.7,3.2,320,52.8
133,대전,2019-01-06,-1.9,2.7,180,52.5
133,대전,2019-01-07,-1.2,3.1,320,66.6
133,대전,2019-01-08,-1.5,5.3,320,54.1
133,대전,2019-01-09,-3.4,2.9,340,41.9
133,대전,2019-01-10,-1.1,2.3,340,58.3
133,대전,2019-01-11,2.8,1.8,140,63.5
133,대전,2019-01-12,4.5,4,200,69.8
133,대전,2019-01-13,1.8,1.7,140,66.6
133,대전,2019-01-14,1.7,2.2,50,72.5
133,대전,2019-01-15,-.1,5.1,320,72.5
133,대전,2019-01-16,-3.8,3.8,320,56.8
133,대전,2019-01-17,0,2.7,200,72.9
133,대전,2019-01-18,.8,2.1,200,70.8
133,대전,2019-01-19,3.2,2.1,110,66.6
133,대전,2019-01-20,1.3,5.6,320,51.1
133,대전,2019-01-21,.2,4.2,180,62.8
133,대전,2019-01-22,3.3,3.2,200,65.8
133,대전,2019-01-23,2.8,5,320,57.6
133,대전,2019-01-24,.9,2.4,200,42.9
133,대전,2019-01-25,-.9,5.5,320,48.5
133,대전,2019-01-26,-2.3,3.6,340,41.5
133,대전,2019-01-27,-.4,5,180,59
133,대전,2019-01-28,2.3,5.5,320,61.1
133,대전,2019-01-29,.1,2.4,110,50
133,대전,2019-01-30,2.7,3,340,55.8
133,대전,2019-01-31,.6,4.7,320,55.4
133,대전,2019-02-01,-1.2,3.8,320,65.6
133,대전,2019-02-02,1.7,2.2,250,70.4
133,대전,2019-02-03,5,4.4,320,93
133,대전,2019-02-04,1.3,3.8,290,51.5
133,대전,2019-02-05,3.2,1.6,110,50.4
133,대전,2019-02-06,6.1,4,180,69
133,대전,2019-02-07,1.8,5.9,320,56
133,대전,2019-02-08,-3.3,2.8,340,39.8
133,대전,2019-02-09,-2.7,4.7,340,46.5
133,대전,2019-02-10,-2.4,2.5,320,36.9
133,대전,2019-02-11,-1.7,3.7,320,47.9
133,대전,2019-02-12,-.3,2.5,320,54.6
133,대전,2019-02-13,-.3,4.9,340,43.8
133,대전,2019-02-14,1.5,2.5,320,41.1
133,대전,2019-02-15,1.7,3.8,320,59.8
133,대전,2019-02-16,-.7,4.3,340,64.5
133,대전,2019-02-17,-.7,3,340,55.9
133,대전,2019-02-18,1.9,2.2,250,52.8
133,대전,2019-02-19,2.2,2.8,320,94.1
133,대전,2019-02-20,1.9,3.7,320,80.6
133,대전,2019-02-21,2.1,2.4,110,72.4
133,대전,2019-02-22,3.6,2.4,340,66.1
133,대전,2019-02-23,5.5,4,90,58.9
133,대전,2019-02-24,6.7,4.4,320,63.4
133,대전,2019-02-25,5.7,3.5,340,57.6
133,대전,2019-02-26,5.3,2.5,180,46
133,대전,2019-02-27,6.6,2.1,180,65.8
133,대전,2019-02-28,6.7,2.6,340,67.4
133,대전,2019-03-01,6.1,2.7,360,59.5
133,대전,2019-03-02,7.4,2.1,160,51.5
133,대전,2019-03-03,9,2.1,110,50.8
133,대전,2019-03-04,10,3.3,320,52.9
133,대전,2019-03-05,8.7,3.7,200,61.5
133,대전,2019-03-06,9.7,4.2,340,58.4
133,대전,2019-03-07,7.1,2.9,200,67.4
133,대전,2019-03-08,7,2.7,160,56.4
133,대전,2019-03-09,8.2,3.9,180,41.4
133,대전,2019-03-10,7.9,5.7,90,60.3
133,대전,2019-03-11,5.7,4.3,180,84.3
133,대전,2019-03-12,4.5,5.9,320,77.6
133,대전,2019-03-13,3.7,6.5,320,44.3
133,대전,2019-03-14,5.9,4,230,48.5
133,대전,2019-03-15,6.9,5.3,320,70.8
133,대전,2019-03-16,6,3.8,180,67.6
133,대전,2019-03-17,7.3,4.3,320,55.8
133,대전,2019-03-18,7.1,3.4,180,46
133,대전,2019-03-19,10.6,4.1,180,54.5
133,대전,2019-03-20,10.9,6.6,180,79.8
133,대전,2019-03-21,8.5,5.3,320,83.6
133,대전,2019-03-22,4.4,3.9,340,55.6
133,대전,2019-03-23,3.2,5.8,320,65.8
133,대전,2019-03-24,4.5,4.8,200,60.3
133,대전,2019-03-25,7.2,4.6,180,62.3
133,대전,2019-03-26,11.9,4.2,320,54.8
133,대전,2019-03-27,14.3,5.3,270,60.6
133,대전,2019-03-28,12,2.7,320,56.1
133,대전,2019-03-29,11.6,3.4,180,44.6
133,대전,2019-03-30,6.1,5.7,290,72.5
133,대전,2019-03-31,5.5,5.4,320,47.9
133,대전,2019-04-01,6.1,4.8,340,45.1
133,대전,2019-04-02,6.6,5,320,40.3
133,대전,2019-04-03,7.6,4.2,200,43.3
133,대전,2019-04-04,9.2,5.4,180,46.3
133,대전,2019-04-05,11.6,5.3,180,53.5
133,대전,2019-04-06,12.5,4.2,180,39.8
133,대전,2019-04-07,14.2,3.2,360,38.8
133,대전,2019-04-08,12.6,5,340,34.1
133,대전,2019-04-09,10.4,7.8,110,55.1
133,대전,2019-04-10,7.9,6.2,110,76.8
133,대전,2019-04-11,10.3,2.7,340,65.6
133,대전,2019-04-12,12.1,3.8,340,53
133,대전,2019-04-13,12.2,4.6,180,44.8
133,대전,2019-04-14,10.5,4.3,320,58
133,대전,2019-04-15,11.6,3.5,180,50.1
133,대전,2019-04-16,14.6,3.1,200,38.8
133,대전,2019-04-17,17.2,4.2,320,41.8
133,대전,2019-04-18,15.7,3.8,200,65.6
133,대전,2019-04-19,14.5,5.1,110,75.6
133,대전,2019-04-20,17.2,5.2,180,61.9
133,대전,2019-04-21,18.1,3.2,320,72.3
133,대전,2019-04-22,20.5,4.9,180,60.5
133,대전,2019-04-23,18.6,4.3,110,75.6
133,대전,2019-04-24,17.7,2.5,200,90.9
133,대전,2019-04-25,15.1,5.1,110,93.1
133,대전,2019-04-26,10,3.8,360,87
133,대전,2019-04-27,12.2,2.9,90,66.9
133,대전,2019-04-28,12.9,3.6,180,72.4
133,대전,2019-04-29,11,3.1,140,92.3
133,대전,2019-04-30,16.1,2.7,180,77.8
133,대전,2019-05-01,15.9,4.6,320,68.5
133,대전,2019-05-02,15.9,3.9,290,57.8
133,대전,2019-05-03,18,3.9,320,47.8
133,대전,2019-05-04,19.2,2.4,340,49.3
133,대전,2019-05-05,19.8,4.8,180,47
133,대전,2019-05-06,14.5,4.8,340,42.1
133,대전,2019-05-07,14.9,4.1,320,41.3
133,대전,2019-05-08,15.9,5,180,42.6
133,대전,2019-05-09,17.7,3.8,320,44.3
133,대전,2019-05-10,18.6,2.6,340,46.1
133,대전,2019-05-11,20.1,2.7,340,45.8
133,대전,2019-05-12,21.5,4.5,180,48.3
133,대전,2019-05-13,20.1,4.7,110,52.8
133,대전,2019-05-14,21.1,4.8,110,59.4
133,대전,2019-05-15,22,2.9,270,63.5
133,대전,2019-05-16,23.5,3.6,110,57.9
133,대전,2019-05-17,23.7,3.4,70,56.1
133,대전,2019-05-18,19.1,6.2,70,83.3
133,대전,2019-05-19,21.1,5.6,70,82.5
133,대전,2019-05-20,17.1,5.5,250,64.8
133,대전,2019-05-21,17.9,5.8,110,56.6
133,대전,2019-05-22,20.8,6.2,110,48.5
133,대전,2019-05-23,23,4.4,110,50.6
133,대전,2019-05-24,24.4,3.8,110,57
133,대전,2019-05-25,24,4,110,50
133,대전,2019-05-26,24.7,6.3,140,46.6
133,대전,2019-05-27,17.9,4.5,160,91.4
133,대전,2019-05-28,17.7,3.5,140,63.3
133,대전,2019-05-29,20.1,4.5,110,53.4
133,대전,2019-05-30,20.2,4.6,110,54.6
133,대전,2019-05-31,19,4,110,65
133,대전,2019-06-01,19.1,2.5,140,69.5
133,대전,2019-06-02,21.5,3,270,57.9
133,대전,2019-06-03,23.4,4.2,250,50.5
133,대전,2019-06-04,24.3,3.4,250,55
133,대전,2019-06-05,24.3,4.2,110,65
133,대전,2019-06-06,22,5.4,50,74.9
133,대전,2019-06-07,18.8,5.5,50,94.9
133,대전,2019-06-08,21.3,3.4,140,78.3
133,대전,2019-06-09,22.1,5.3,110,73.5
133,대전,2019-06-10,18.9,4,20,77.4
133,대전,2019-06-11,21.1,3.3,70,64.3
133,대전,2019-06-12,21.4,2.7,110,68.9
133,대전,2019-06-13,23.4,2.5,250,64.5
133,대전,2019-06-14,21.9,3.2,270,73
133,대전,2019-06-15,21.9,5.6,250,68.8
133,대전,2019-06-16,21.9,2.7,230,69.4
133,대전,2019-06-17,22.2,5.1,110,66.3
133,대전,2019-06-18,21.7,4,110,75.3
133,대전,2019-06-19,22.7,2.3,250,77.3
133,대전,2019-06-20,23.9,2.9,270,72.5
133,대전,2019-06-21,23.8,3,250,69.9
133,대전,2019-06-22,23.9,3.5,20,72.1
133,대전,2019-06-23,24.2,3,50,61.1
133,대전,2019-06-24,24.9,2.7,230,63.9
133,대전,2019-06-25,26.4,2.8,250,59.1
133,대전,2019-06-26,22.1,5.2,50,79.8
133,대전,2019-06-27,24.7,2.8,70,84
133,대전,2019-06-28,25.4,4.9,110,76.3
133,대전,2019-06-29,22.2,4,90,94.6
133,대전,2019-06-30,24,3.8,110,86
133,대전,2019-07-01,23.7,3.9,110,77.4
133,대전,2019-07-02,23.8,4.2,110,72.3
133,대전,2019-07-03,24.4,2,340,75.1
133,대전,2019-07-04,25.6,3.1,250,66.8
133,대전,2019-07-05,27.7,5,70,56.4
133,대전,2019-07-06,27.5,7,70,52.6
133,대전,2019-07-07,25.3,6.7,20,58.9
133,대전,2019-07-08,24.5,4.8,50,63.3
133,대전,2019-07-09,24.4,5.2,50,62.8
133,대전,2019-07-10,21.6,4.3,20,82.5
133,대전,2019-07-11,21.3,1.9,250,95.4
133,대전,2019-07-12,23.5,3.1,140,79.1
133,대전,2019-07-13,24.4,3.3,270,80.1
133,대전,2019-07-14,25.9,2.9,90,76.8
133,대전,2019-07-15,23.8,4.6,50,87.6
133,대전,2019-07-16,24.8,6.4,90,83.4
133,대전,2019-07-17,26,3.1,20,81.5
133,대전,2019-07-18,25.6,2.6,90,84
133,대전,2019-07-19,26.6,6.7,20,82.8
133,대전,2019-07-20,25.6,6.2,20,90.9
133,대전,2019-07-21,24.8,3.6,140,93.3
133,대전,2019-07-22,27.9,3.8,110,80.6
133,대전,2019-07-23,29,3.2,140,78.3
133,대전,2019-07-24,27.7,3.4,90,82.6
133,대전,2019-07-25,26.4,2,90,96.8
133,대전,2019-07-26,27,2.8,140,93.8
133,대전,2019-07-27,27.9,3.8,110,89.4
133,대전,2019-07-28,26.7,4.9,140,93.6
133,대전,2019-07-29,28.5,4.4,140,77.8
133,대전,2019-07-30,29.4,5.2,110,77.3
133,대전,2019-07-31,29.6,4.8,140,76.1
133,대전,2019-08-01,29.5,3.2,140,76.9
133,대전,2019-08-02,30,2,200,75.3
133,대전,2019-08-03,29.9,3.8,50,78.4
133,대전,2019-08-04,29.8,3.9,270,79.6
133,대전,2019-08-05,30.7,3.3,50,74.3
133,대전,2019-08-06,29.7,4.5,50,67
133,대전,2019-08-07,28.6,3.1,140,81.3
133,대전,2019-08-08,28.5,7.2,110,82.9
133,대전,2019-08-09,29.5,3.1,270,80.9
133,대전,2019-08-10,30.2,6.1,70,72.8
133,대전,2019-08-11,29.7,8.2,70,67.9
133,대전,2019-08-12,29,5.5,50,82.5
133,대전,2019-08-13,29.8,3,50,78.1
133,대전,2019-08-14,30.1,5.2,20,70.6
133,대전,2019-08-15,25.8,3.3,270,92.9
133,대전,2019-08-16,26.9,4.2,110,83.8
133,대전,2019-08-17,26.3,4.9,110,81.6
133,대전,2019-08-18,25.6,2.7,270,72.5
133,대전,2019-08-19,26.5,2.2,290,73
133,대전,2019-08-20,27.8,5.2,70,70
133,대전,2019-08-21,27.3,5.2,140,75.6
133,대전,2019-08-22,26.5,3.1,250,81.3
133,대전,2019-08-23,25.2,2.6,140,75.3
133,대전,2019-08-24,23.6,2.5,140,78.4
133,대전,2019-08-25,24.6,1.7,110,73.9
133,대전,2019-08-26,25.9,2.9,70,72.1
133,대전,2019-08-27,22.4,3.7,70,92.6
133,대전,2019-08-28,24.2,3.1,140,86.8
133,대전,2019-08-29,23.2,5.2,250,88.4
133,대전,2019-08-30,23.2,3.6,250,76.6
133,대전,2019-08-31,23.3,2.9,110,75.4
133,대전,2019-09-01,23.5,2.5,110,79
133,대전,2019-09-02,22.6,3.5,70,86
133,대전,2019-09-03,22.3,3.6,50,95.1
133,대전,2019-09-04,24.5,3.9,50,92
133,대전,2019-09-05,24.4,4.2,250,94.3
133,대전,2019-09-06,25.6,4.2,70,89.3
133,대전,2019-09-07,26.2,10.9,90,81.4
133,대전,2019-09-08,25.3,2.8,140,87.5
133,대전,2019-09-09,24,2.7,50,96.4
133,대전,2019-09-10,27.2,4.2,90,78.6
133,대전,2019-09-11,25.3,7.5,50,84.1
133,대전,2019-09-12,20.8,5,50,85.8
133,대전,2019-09-13,22.9,4.8,70,73.9
133,대전,2019-09-14,23.4,3.1,50,82.3
133,대전,2019-09-15,25.3,2.2,250,79
133,대전,2019-09-16,24.5,2.5,70,70.8
133,대전,2019-09-17,23,3.8,50,65.4
133,대전,2019-09-18,21.9,3.9,250,60.1
133,대전,2019-09-19,20.2,3.3,50,66.1
133,대전,2019-09-20,20,5.2,20,72.4
133,대전,2019-09-21,17.8,5.8,20,86.9
133,대전,2019-09-22,16.4,5.8,20,95.8
133,대전,2019-09-23,17.8,2.7,270,81.9
133,대전,2019-09-24,18.3,2.8,270,78.8
133,대전,2019-09-25,18.8,2.1,20,81.4
133,대전,2019-09-26,20.9,4,70,80.9
133,대전,2019-09-27,22.7,2.8,50,78.4
133,대전,2019-09-28,24.2,2.2,250,79
133,대전,2019-09-29,22.7,2.3,270,72.3
133,대전,2019-09-30,22.1,2.2,250,76.6
133,대전,2019-10-01,22.1,2.2,70,86.4
133,대전,2019-10-02,21.1,3.9,70,94.3
133,대전,2019-10-03,22.2,4.5,270,87
133,대전,2019-10-04,22.5,4.2,140,84.1
133,대전,2019-10-05,19.2,3.2,110,83.8
133,대전,2019-10-06,18.4,5.2,50,68.4
133,대전,2019-10-07,15.7,4.2,50,91.9
133,대전,2019-10-08,15.6,4.8,250,75.5
133,대전,2019-10-09,13.2,1.7,250,71.1
133,대전,2019-10-10,14.1,1.5,250,79.9
133,대전,2019-10-11,17.4,2.2,290,74.1
133,대전,2019-10-12,18.3,3.6,360,63.5
133,대전,2019-10-13,16.7,3.8,70,68.8
133,대전,2019-10-14,14.6,3.7,250,75.5
133,대전,2019-10-15,14.2,4.9,50,73.1
133,대전,2019-10-16,14.5,2,90,75.1
133,대전,2019-10-17,15,3.7,20,77.6
133,대전,2019-10-18,15.8,4.9,50,81.3
133,대전,2019-10-19,16.7,2.2,270,76.9
133,대전,2019-10-20,15.4,1.6,250,76.1
133,대전,2019-10-21,15.5,3,360,77.8
133,대전,2019-10-22,16.9,3.6,50,75.1
133,대전,2019-10-23,16.5,4.1,50,74.1
133,대전,2019-10-24,18.9,4.6,50,60.1
133,대전,2019-10-25,17.3,3.2,250,68.8
133,대전,2019-10-26,12.7,3.4,250,66.3
133,대전,2019-10-27,10.8,2.8,270,68.4
133,대전,2019-10-28,11.9,3.2,110,69.4
133,대전,2019-10-29,14.1,3.7,110,71
133,대전,2019-10-30,11.6,2.2,270,73.6
133,대전,2019-10-31,13.3,2.9,140,79.6
133,대전,2019-11-01,14.6,2.3,250,73.9
133,대전,2019-11-02,13.2,1.6,250,79.1
133,대전,2019-11-03,14.4,2.2,340,76.4
133,대전,2019-11-04,13.6,1.7,250,74
133,대전,2019-11-05,12.1,2.9,250,77.1
133,대전,2019-11-06,11.8,2.5,250,75.9
133,대전,2019-11-07,10.8,3.7,250,66.4
133,대전,2019-11-08,6.8,2.3,270,61
133,대전,2019-11-09,8.1,2.1,270,62.5
133,대전,2019-11-10,9.1,3.6,250,75.5
133,대전,2019-11-11,11.7,4,250,81.3
133,대전,2019-11-12,9.6,2.3,20,78.9
133,대전,2019-11-13,8.2,4.3,270,83.6
133,대전,2019-11-14,2.9,4.8,270,46.3
133,대전,2019-11-15,9.6,3.6,180,69.8
133,대전,2019-11-16,13,4.3,110,81.3
133,대전,2019-11-17,9.8,3.9,70,96
133,대전,2019-11-18,7.7,4.9,270,76.1
133,대전,2019-11-19,2.6,3.9,290,73.5
133,대전,2019-11-20,2,2.6,250,60.9
133,대전,2019-11-21,4.3,1.4,320,62.9
133,대전,2019-11-22,9.9,2.8,20,62.8
133,대전,2019-11-23,11.4,3.8,70,76.3
133,대전,2019-11-24,12.8,6.1,270,79.3
133,대전,2019-11-25,3.6,4,270,70.8
133,대전,2019-11-26,7.7,2.3,290,74.5
133,대전,2019-11-27,5.8,3,250,56.8
133,대전,2019-11-28,4.6,2.3,20,68.6
133,대전,2019-11-29,2.9,2.4,250,60.6
133,대전,2019-11-30,4.9,2.4,230,60.3
133,대전,2019-12-01,6.4,2.1,250,82.4
133,대전,2019-12-02,2.7,4.8,250,69.6
133,대전,2019-12-03,2.3,4.5,140,76.3
133,대전,2019-12-04,5.7,3.5,250,63.1
133,대전,2019-12-05,-.6,4.7,250,51.4
133,대전,2019-12-06,-4.4,2.9,270,50
133,대전,2019-12-07,-.1,2,200,67.9
133,대전,2019-12-08,1.2,1.8,70,74
133,대전,2019-12-09,3.3,2.2,180,72.3
133,대전,2019-12-10,7.8,3.3,140,78.3
133,대전,2019-12-11,7.9,5.4,270,70.8
133,대전,2019-12-12,1,2.9,250,56.8
133,대전,2019-12-13,.9,1.9,50,58.5
133,대전,2019-12-14,4.4,3,270,63.8
133,대전,2019-12-15,5.4,3.3,50,67.1
133,대전,2019-12-16,7.9,1.8,250,73.1
133,대전,2019-12-17,7.7,3.2,250,90.3
133,대전,2019-12-18,2.7,2.5,270,75
133,대전,2019-12-19,.8,4,270,56.6
133,대전,2019-12-20,.9,2.5,250,70.9
133,대전,2019-12-21,.3,2.8,110,73.3
133,대전,2019-12-22,3.2,2,110,74.6
133,대전,2019-12-23,3.8,4.1,250,75.8
133,대전,2019-12-24,1.2,2.1,50,76.1
133,대전,2019-12-25,2.2,2.2,290,66
133,대전,2019-12-26,2.4,4.4,250,74.8
133,대전,2019-12-27,.1,3.5,250,62.8
133,대전,2019-12-28,.6,1.9,50,64.3
133,대전,2019-12-29,2,4,70,76.6
133,대전,2019-12-30,4.2,5.8,270,86.9
133,대전,2019-12-31,-4.7,4.9,250,55
